Processed 55163 csets from 2833 developers
373 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
Alex Elder                  72 (0.1%)
Eric Paris                  71 (0.1%)
Dmitry Kravkov              71 (0.1%)
Chris Wilson                70 (0.1%)
Kumar Gala                  70 (0.1%)
Gabor Juhos                 69 (0.1%)
Martin Schwidefsky          69 (0.1%)
Archit Taneja               69 (0.1%)
Ralf Baechle                68 (0.1%)
Chris Mason                 68 (0.1%)
Helmut Schaa                68 (0.1%)
Jarod Wilson                67 (0.1%)
Johan Hovold                67 (0.1%)
Takuya Yoshikawa            67 (0.1%)
Amitkumar Karwar            67 (0.1%)
Roland Dreier               66 (0.1%)
Li Zefan                    66 (0.1%)
James Smart                 66 (0.1%)
H Hartley Sweeten           65 (0.1%)
Bhanu Prakash Gollapudi     65 (0.1%)
Malcolm Priestley           64 (0.1%)
Andrew Morton               63 (0.1%)
Arnd Bergmann               63 (0.1%)
Thomas Abraham              63 (0.1%)
Samuel Ortiz                63 (0.1%)
Florian Fainelli            63 (0.1%)
Marc Zyngier                63 (0.1%)
Jiri Olsa                   63 (0.1%)
Dave Chinner                62 (0.1%)
Boaz Harrosh                62 (0.1%)
Olof Johansson              62 (0.1%)
Michal Simek                62 (0.1%)
Paul Walmsley               62 (0.1%)
Tetsuo Handa                61 (0.1%)
Yogesh Ashok Powar          61 (0.1%)
Ravishankar karkala Mallikarjunayya   60 (0.1%)
Borislav Petkov             59 (0.1%)
Michal Marek                59 (0.1%)
Pavel Emelyanov             59 (0.1%)
Shaohua Li                  58 (0.1%)
Clemens Ladisch             58 (0.1%)
Frederic Weisbecker         58 (0.1%)
Rusty Russell               58 (0.1%)
Krishna Gudipati            58 (0.1%)
Dave Airlie                 57 (0.1%)
Yoshihiro Shimoda           57 (0.1%)
Stephen M. Cameron          57 (0.1%)
Stephen Boyd                57 (0.1%)
Christoph Lameter           57 (0.1%)
Arnaud Lacombe              57 (0.1%)
Emil Tantilov               57 (0.1%)
Florian Tobias Schandinat   57 (0.1%)
Jiri Kosina                 56 (0.1%)
Ondrej Zary                 56 (0.1%)
Jingoo Han                  56 (0.1%)
Andi Kleen                  56 (0.1%)
Szymon Janc                 56 (0.1%)
Andre Guedes                56 (0.1%)
Pavel Shilovsky             55 (0.1%)
Lai Jiangshan               55 (0.1%)
Antonio Quartulli           55 (0.1%)
Vinicius Costa Gomes        55 (0.1%)
Pavel Roskin                54 (0.1%)
Yongqiang Yang              54 (0.1%)
Michael Krufky              54 (0.1%)
Paul Mackerras              54 (0.1%)
Milton Miller               53 (0.1%)
Stephane Eranian            53 (0.1%)
Akinobu Mita                52 (0.1%)
Richard Cochran             52 (0.1%)
Marek Szyprowski            52 (0.1%)
Don Fry                     52 (0.1%)
John Fastabend              52 (0.1%)
KOSAKI Motohiro             51 (0.1%)
Richard Weinberger          51 (0.1%)
Tomas Winkler               51 (0.1%)
Haojian Zhuang              51 (0.1%)
Javier Cardona              51 (0.1%)
Dmitry Kasatkin             51 (0.1%)
Hauke Mehrtens              50 (0.1%)
Ilya Dryomov                50 (0.1%)
Santosh Shilimkar           50 (0.1%)
Sathya Perla                50 (0.1%)
Kirill A. Shutemov          50 (0.1%)
Devin Heitmueller           49 (0.1%)
Steffen Klassert            49 (0.1%)
David Daney                 49 (0.1%)
Eliot Blennerhassett        49 (0.1%)
Corentin Chary              49 (0.1%)
Ingo Molnar                 48 (0.1%)
Dave Jiang                  48 (0.1%)
Mika Westerberg             48 (0.1%)
Javier Martin               48 (0.1%)
MyungJoo Ham                47 (0.1%)
Suresh Siddha               47 (0.1%)
Joonyoung Shim              47 (0.1%)
Chaoming Li                 47 (0.1%)
Rasesh Mody                 47 (0.1%)
Steve French                46 (0.1%)
Jeff Skirvin                46 (0.1%)
Daniel Drake                46 (0.1%)
Scott Wood                  46 (0.1%)
Pablo Neira Ayuso           46 (0.1%)
Matt Fleming                46 (0.1%)
Vikas Chaudhary             46 (0.1%)
Thomas Hellstrom            46 (0.1%)
Peter De Schrijver          46 (0.1%)
Liam Girdwood               45 (0.1%)
Tao Ma                      45 (0.1%)
Michael S. Tsirkin          45 (0.1%)
Haiyang Zhang               45 (0.1%)
Benjamin Tissoires          44 (0.1%)
Johannes Weiner             44 (0.1%)
Andy Shevchenko             44 (0.1%)
Srivatsa S. Bhat            44 (0.1%)
Matthew Garrett             43 (0.1%)
Andrew Lutomirski           43 (0.1%)
Bob Moore                   43 (0.1%)
Stefan Richter              42 (0.1%)
David Rientjes              42 (0.1%)
Jarkko Nikula               42 (0.1%)
Steven Toth                 42 (0.1%)
Andiry Xu                   42 (0.1%)
Jon Mason                   42 (0.1%)
Inki Dae                    42 (0.1%)
Daniel Mack                 41 (0.1%)
KAMEZAWA Hiroyuki           41 (0.1%)
John W. Linville            41 (0.1%)
Sven Eckelmann              41 (0.1%)
Bryan Schumaker             41 (0.1%)
Hillf Danton                41 (0.1%)
Greg Dietsche               41 (0.1%)
Sergei Shtylyov             41 (0.1%)
Masami Hiramatsu            41 (0.1%)
Jakob Bornecrantz           41 (0.1%)
Lin Ming                    40 (0.1%)
David Henningsson           40 (0.1%)
Adrian Hunter               40 (0.1%)
Benny Halevy                40 (0.1%)
Marc Dietrich               40 (0.1%)
Kay Sievers                 40 (0.1%)
Tobias Klauser              40 (0.1%)
Xi Wang                     40 (0.1%)
Colin Cross                 39 (0.1%)
Per Forlin                  39 (0.1%)
Wanlong Gao                 39 (0.1%)
Sjur Brændeland            39 (0.1%)
Peter Huewe                 39 (0.1%)
Rabin Vincent               39 (0.1%)
Glauber Costa               39 (0.1%)
Gertjan van Wingerde        39 (0.1%)
Dimitris Papastamos         39 (0.1%)
Michael Holzheu             39 (0.1%)
Rob Clark                   39 (0.1%)
Nadav Har'El                39 (0.1%)
Kevin McKinney              39 (0.1%)
Bartlomiej Zolnierkiewicz   39 (0.1%)
Ben Greear                  38 (0.1%)
David Sterba                38 (0.1%)
Robert Richter              38 (0.1%)
Yong Zhang                  38 (0.1%)
Roland Stigge               38 (0.1%)
Vinod Koul                  38 (0.1%)
Konstantin Khlebnikov       38 (0.1%)
Gleb Natapov                38 (0.1%)
Alexander Graf              38 (0.1%)
Richard Zhao                38 (0.1%)
Lu Guanqun                  38 (0.1%)
Miklos Szeredi              37 (0.1%)
Christian Lamparter         37 (0.1%)
Ming Lei                    37 (0.1%)
Giuseppe CAVALLARO          37 (0.1%)
Jozsef Kadlecsik            36 (0.1%)
Catalin Marinas             36 (0.1%)
Sachin Kamat                36 (0.1%)
Richard Kuo                 36 (0.1%)
Raja Mani                   36 (0.1%)
Kim Phillips                35 (0.1%)
Justin P. Mattock           35 (0.1%)
Dan Magenheimer             35 (0.1%)
Barry Song                  35 (0.1%)
Rajendra Nayak              35 (0.1%)
Mimi Zohar                  35 (0.1%)
Jim Cromie                  34 (0.1%)
Anatolij Gustschin          34 (0.1%)
Jonathan Corbet             34 (0.1%)
Jan Glauber                 34 (0.1%)
Neil Horman                 34 (0.1%)
Mikulas Patocka             34 (0.1%)
Mike Christie               34 (0.1%)
Huang Ying                  33 (0.1%)
Mel Gorman                  33 (0.1%)
Kees Cook                   33 (0.1%)
Michal Hocko                33 (0.1%)
Lukas Czerner               33 (0.1%)
Sasha Levin                 33 (0.1%)
Jan Kiszka                  33 (0.1%)
BjÃ¸rn Mork               33 (0.1%)
Mathieu Desnoyers           33 (0.1%)
Marcos Paulo de Souza       33 (0.1%)
Jonas Bonn                  33 (0.1%)
Yevgeny Petrilin            33 (0.1%)
Tarun Kanti DebBarma        33 (0.1%)
Frans Meulenbroeks          33 (0.1%)
Bob Liu                     32 (0.1%)
Jonghwan Choi               32 (0.1%)
Ben Widawsky                32 (0.1%)
Russell King - ARM Linux    32 (0.1%)
liubo                       32 (0.1%)
Nishanth Menon              32 (0.1%)
Sean Hefty                  32 (0.1%)
Anton Vorontsov             32 (0.1%)
Michael Chan                32 (0.1%)
Istvan Varga                32 (0.1%)
Neil Zhang                  32 (0.1%)
Seth Forshee                31 (0.1%)
Tony Luck                   31 (0.1%)
David Ahern                 31 (0.1%)
Jeff Mahoney                31 (0.1%)
Giridhar Malavali           31 (0.1%)
Adam Jackson                31 (0.1%)
Laxman Dewangan             31 (0.1%)
Jerome Glisse               30 (0.1%)
Janusz Krzysztofik          30 (0.1%)
James Morris                30 (0.1%)
Jan Schmidt                 30 (0.1%)
Arne Jansen                 30 (0.1%)
Thomas Renninger            30 (0.1%)
Thierry Reding              30 (0.1%)
Or Gerlitz                  30 (0.1%)
David Kilroy                30 (0.1%)
Alwin Beukers               30 (0.1%)
Yuval Mintz                 30 (0.1%)
Bob Peterson                29 (0.1%)
Eric Anholt                 29 (0.1%)
Ido Yariv                   29 (0.1%)
Dave Jones                  29 (0.1%)
Mathias Krause              29 (0.1%)
Jonathan Brassow            29 (0.1%)
Govindraj.R                 29 (0.1%)
Jayachandran C              29 (0.1%)
Thomas Pedersen             29 (0.1%)
Myron Stowe                 29 (0.1%)
Robert Jarzmik              29 (0.1%)
Nagalakshmi Nandigama       29 (0.1%)
Víctor Manuel Jáquez Leal   29 (0.1%)
Len Brown                   28 (0.1%)
Simon Horman                28 (0.1%)
Amit Shah                   28 (0.1%)
Chuck Lever                 28 (0.1%)
Greg Rose                   28 (0.1%)
Andy Grover                 28 (0.1%)
Paul Parsons                27 (0.0%)
Peng Tao                    27 (0.0%)
Scott Jiang                 27 (0.0%)
adam radford                27 (0.0%)
Mark Rutland                27 (0.0%)
Jonathan Nieder             27 (0.0%)
Oren Weil                   27 (0.0%)
Henry Ptasinski             27 (0.0%)
Marek Lindner               27 (0.0%)
Ursula Braun                27 (0.0%)
Ville Syrjälä             27 (0.0%)
Marcel Holtmann             27 (0.0%)
Michel Dänzer              26 (0.0%)
Andrea Arcangeli            26 (0.0%)
Daniel Hellstrom            26 (0.0%)
Igor Grinberg               26 (0.0%)
Tyler Hicks                 26 (0.0%)
Alexey Dobriyan             26 (0.0%)
Josh Boyer                  26 (0.0%)
Andreas Oberritter          26 (0.0%)
Andrew Vasquez              26 (0.0%)
Andrew Lunn                 26 (0.0%)
Shahar Levi                 26 (0.0%)
Gavin Shan                  26 (0.0%)
Marc Kleine-Budde           25 (0.0%)
Sonic Zhang                 25 (0.0%)
Alexander Stein             25 (0.0%)
Fred Isaman                 25 (0.0%)
Mike McCormack              25 (0.0%)
Boojin Kim                  25 (0.0%)
Thadeu Lima de Souza Cascardo   25 (0.0%)
Vasu Dev                    25 (0.0%)
Vivek Goyal                 25 (0.0%)
Sam Ravnborg                25 (0.0%)
Vladislav Zolotarov         25 (0.0%)
Stefan Ringel               25 (0.0%)
Chad Dupuis                 25 (0.0%)
Michael Ellerman            25 (0.0%)
Carsten Otte                25 (0.0%)
Lothar Waßmann             25 (0.0%)
Jaehoon Chung               24 (0.0%)
Miao Xie                    24 (0.0%)
James Bottomley             24 (0.0%)
Tomasz Stanislawski         24 (0.0%)
Phillip Lougher             24 (0.0%)
Aneesh Kumar K.V            24 (0.0%)
Manjunath Hadli             24 (0.0%)
Don Skidmore                24 (0.0%)
Chandra Seetharaman         24 (0.0%)
Stefan Berger               24 (0.0%)
Julian Andres Klode         24 (0.0%)
Ilan Elias                  24 (0.0%)
Ali Bahar                   24 (0.0%)
Milo(Woogyom) Kim           24 (0.0%)
Wim Van Sebroeck            23 (0.0%)
Philip Rakity               23 (0.0%)
Florian Mickler             23 (0.0%)
Tushar Behera               23 (0.0%)
Jens Axboe                  23 (0.0%)
Vasiliy Kulikov             23 (0.0%)
Christian Borntraeger       23 (0.0%)
