Macq Electronique            9 (0.0%)
Cypress Semiconductor        9 (0.0%)
Ravello Systems              9 (0.0%)
Bosch                        9 (0.0%)
Eukrea Electromatique        8 (0.0%)
Lemonage Software            8 (0.0%)
Datera Inc.                  8 (0.0%)
Open Nandra                  8 (0.0%)
Telegent System              8 (0.0%)
Parkeon                      8 (0.0%)
Cavium Networks              8 (0.0%)
Intra2net AG                 7 (0.0%)
Societe Francaise de Radiotelephone    7 (0.0%)
MIT Lincoln Laboratory       7 (0.0%)
APM                          7 (0.0%)
Ozmo Devices                 7 (0.0%)
Motorola                     6 (0.0%)
Cirrus Logic                 6 (0.0%)
ProFUSION                    6 (0.0%)
SYS TEC electronic GmbH      6 (0.0%)
Sirius Electronic Systems    6 (0.0%)
JiangSu Lemote Corp.         6 (0.0%)
Numascale Asia               6 (0.0%)
Oc� Technologies             6 (0.0%)
Atheros Communications       6 (0.0%)
Exosec                       6 (0.0%)
GNU                          6 (0.0%)
NetLogic Microsystems        6 (0.0%)
Bluecherry LLC               6 (0.0%)
Genesi USA Inc.              6 (0.0%)
Nokia Siemens Networks       6 (0.0%)
Sonatest Limited             5 (0.0%)
SmartJog S.A.S.              5 (0.0%)
Traverse Technologies        5 (0.0%)
Open Wide Group              5 (0.0%)
Digi International           5 (0.0%)
Myricom                      5 (0.0%)
Axis Communications          5 (0.0%)
Cablon                       5 (0.0%)
Matrix Vision                5 (0.0%)
WindRiver                    5 (0.0%)
Nanometrics                  5 (0.0%)
Science Fiction Technologies    5 (0.0%)
Renesas Technology           5 (0.0%)
EIA Electronics NV           5 (0.0%)
Sophos                       5 (0.0%)
Fraunhofer FOKUS             5 (0.0%)
Sony Mobile                  4 (0.0%)
Substantiel                  4 (0.0%)
Big Switch Networks          4 (0.0%)
Weinmann Medical Technology    4 (0.0%)
Microbit                     4 (0.0%)
Cybage                       4 (0.0%)
US National Security Agency    4 (0.0%)
Panasas                      4 (0.0%)
Sandia National Laboratories    4 (0.0%)
Maxim Integrated Products    4 (0.0%)
General Electric             4 (0.0%)
Peking University Microprocessor R&D Center    4 (0.0%)
ISEE                         4 (0.0%)
Gridcentric                  4 (0.0%)
HCL Technologies Limited     4 (0.0%)
Twitter                      4 (0.0%)
SYSGO                        4 (0.0%)
IP flavors                   4 (0.0%)
Smith Micro Software         4 (0.0%)
Servergy                     4 (0.0%)
KernelLabs Inc               3 (0.0%)
Faraday Technology           3 (0.0%)
Simtec                       3 (0.0%)
Synaptics                    3 (0.0%)
Xyratex                      3 (0.0%)
Dell                         3 (0.0%)
Elliptic Technologies        3 (0.0%)
C-DAC                        3 (0.0%)
Infineon Technologies AG     3 (0.0%)
ZOHO Corp                    3 (0.0%)
Zadara Storage               3 (0.0%)
Alphalink                    3 (0.0%)
RapidRollout                 3 (0.0%)
Prodrive                     3 (0.0%)
Stratus Technologies         3 (0.0%)
Crystalfontz                 3 (0.0%)
Trellisware Technologies     3 (0.0%)
Fixstars Technologies        3 (0.0%)
Barco                        3 (0.0%)
Elbrys Networks              3 (0.0%)
Lawrence Livermore National Laboratory    3 (0.0%)
ENEA AB                      3 (0.0%)
Yandex                       3 (0.0%)
CodeSourcery                 3 (0.0%)
SteelEye                     3 (0.0%)
OSADL                        3 (0.0%)
Lumanate                     3 (0.0%)
Vision Systems GmbH          3 (0.0%)
EADS                         3 (0.0%)
VayavyaLabs                  3 (0.0%)
EZChip                       3 (0.0%)
Extreme Engineering Solutions    3 (0.0%)
cynove                       2 (0.0%)
Digital Design Corporation    2 (0.0%)
Software Development Europe    2 (0.0%)
ZTE Corporation              2 (0.0%)
Mozilla                      2 (0.0%)
Orange                       2 (0.0%)
ONERA                        2 (0.0%)
jusst technologies GmbH      2 (0.0%)
Tonian                       2 (0.0%)
MPL AG                       2 (0.0%)
Panasonic                    2 (0.0%)
ONELAN                       2 (0.0%)
Allnet GmbH                  2 (0.0%)
OPTEYA SAS                   2 (0.0%)
ADVANSEE                     2 (0.0%)
8D Technologies              2 (0.0%)
ESD Electronics              2 (0.0%)
VIA                          2 (0.0%)
EfficiOS                     2 (0.0%)
Viprinet GmpH                2 (0.0%)
Schleißheimer               2 (0.0%)
Mercury IMC Ltd              2 (0.0%)
fuel7                        2 (0.0%)
Akamai Technologies          2 (0.0%)
ALT Linux Ltd                2 (0.0%)
PHYTEC Messtechnik GmbH      2 (0.0%)
Your File System             2 (0.0%)
Cumulus Networks             2 (0.0%)
Logitech                     2 (0.0%)
Sencore                      2 (0.0%)
RGM Advisors                 2 (0.0%)
LWN.net                      2 (0.0%)
Portalis                     2 (0.0%)
Amazon.com                   2 (0.0%)
Virginia Tech                2 (0.0%)
Factor-SPE                   2 (0.0%)
Dr. Schenk                   2 (0.0%)
Micrel Inc.                  2 (0.0%)
EFE                          2 (0.0%)
Academia                     2 (0.0%)
Gemalto                      2 (0.0%)
Allied Telesis               2 (0.0%)
SKTB SKiT                    2 (0.0%)
Jolla                        2 (0.0%)
XS4ALL Internet bv           2 (0.0%)
InvenSense                   2 (0.0%)
Universal Scientific Industrial Co.    2 (0.0%)
tarent solutions             1 (0.0%)
CenterVue                    1 (0.0%)
Grapecom Ltd                 1 (0.0%)
Xsens                        1 (0.0%)
Beam Ltd.                    1 (0.0%)
IOSONO                       1 (0.0%)
Raritan                      1 (0.0%)
Riverbed Technology          1 (0.0%)
Grid-Net                     1 (0.0%)
Digigram                     1 (0.0%)
Kinkrsoftware                1 (0.0%)
Xelerated AB                 1 (0.0%)
ITT Industries               1 (0.0%)
Bluehost                     1 (0.0%)
MicroGate Systems            1 (0.0%)
Holoscópio Tecnologia Ltda.    1 (0.0%)
Teleca                       1 (0.0%)
ITWatchdogs                  1 (0.0%)
MEN Mikro Elektronik         1 (0.0%)
Novasys Ingénierie          1 (0.0%)
RuggedCom                    1 (0.0%)
Digium                       1 (0.0%)
BayLibre                     1 (0.0%)
NetComm Wireless             1 (0.0%)
Nedap                        1 (0.0%)
CERN                         1 (0.0%)
ROSA                         1 (0.0%)
Fiberby ApS                  1 (0.0%)
ProfitBricks GmbH            1 (0.0%)
Bluewater Systems            1 (0.0%)
Concurrent Computer Corporation    1 (0.0%)
MediaTek                     1 (0.0%)
Evidence Srl                 1 (0.0%)
Adobe                        1 (0.0%)
Shtrih-m                     1 (0.0%)
RUAG                         1 (0.0%)
Chinese Academy of Sciences    1 (0.0%)
CEA                          1 (0.0%)
Now Computing                1 (0.0%)
ASIX Electronics Corp.       1 (0.0%)
Fastor Systems               1 (0.0%)
Dension Audio Systems        1 (0.0%)
Sysdream                     1 (0.0%)
Cyberoam Technologies        1 (0.0%)
AARNet                       1 (0.0%)
Macnetix                     1 (0.0%)
Synology                     1 (0.0%)
Recore Systems               1 (0.0%)
Mistral Solutions            1 (0.0%)
Stratosphere                 1 (0.0%)
MM Solutions AD              1 (0.0%)
Logic PD                     1 (0.0%)
Open Grid Computing          1 (0.0%)
GSI Helmholtzzentrum fuer Schwerionenforschung GmbH    1 (0.0%)
ELAN Microelectronics Corp.    1 (0.0%)
Connect Tech                 1 (0.0%)
EZchip                       1 (0.0%)
