Academia                     7 (0.0%)
Trend Micro                  6 (0.0%)
Substantiel                  6 (0.0%)
Savoir-faire Linux           6 (0.0%)
Simtec                       6 (0.0%)
Bluewater Systems            6 (0.0%)
APM                          6 (0.0%)
Virtual Security Research    6 (0.0%)
Neratec Solutions            6 (0.0%)
Science Fiction Technologies    6 (0.0%)
Lawrence Livermore National Laboratory    6 (0.0%)
DTI2 - Desarrollo de la tecnologia de las comunicaciones    6 (0.0%)
Whamcloud                    6 (0.0%)
Sentelic Corporation         6 (0.0%)
Plugable Technologies        6 (0.0%)
Keymile AG                   6 (0.0%)
hjk engineering              6 (0.0%)
Ixia                         5 (0.0%)
Xelerated AB                 5 (0.0%)
Virtual Computer             5 (0.0%)
Parrot SA                    5 (0.0%)
Hitachi Data Systems         5 (0.0%)
Logitech                     5 (0.0%)
Numascale                    5 (0.0%)
Jotron Phontech              5 (0.0%)
Bluegiga                     5 (0.0%)
Vision Systems GmbH          5 (0.0%)
Raumfeld GmbH                5 (0.0%)
Sonatest Limited             4 (0.0%)
Embedded Solutions LTD       4 (0.0%)
MIPS Technologies            4 (0.0%)
Cirrus Logic                 4 (0.0%)
Indesign LLC                 4 (0.0%)
Simtec Electronics           4 (0.0%)
Dell                         4 (0.0%)
Evidence Srl                 4 (0.0%)
JiangSu Lemote Corp.         4 (0.0%)
fuel7                        4 (0.0%)
Voltaire                     4 (0.0%)
VayavyaLabs                  4 (0.0%)
Nokia Siemens Networks       4 (0.0%)
Faraday Technology           3 (0.0%)
HALE electronic GmbH         3 (0.0%)
Sensortherm GmbH             3 (0.0%)
Digital Devices GmbH         3 (0.0%)
NIIF Institute               3 (0.0%)
ZTE Corporation              3 (0.0%)
Presense Technologies        3 (0.0%)
Katalix Systems              3 (0.0%)
Huawei Technologies          3 (0.0%)
Matrix Vision                3 (0.0%)
RGM Advisors                 3 (0.0%)
SYSGO                        3 (0.0%)
Collabora Multimedia         3 (0.0%)
Sony Ericsson                3 (0.0%)
EIA Electronics NV           3 (0.0%)
Octasic Semiconductor        3 (0.0%)
Metzler Brothers Systementwicklung GbR    3 (0.0%)
OSADL                        3 (0.0%)
Weinmann Medical Technology    3 (0.0%)
Bosch                        3 (0.0%)
Protocol Labs                3 (0.0%)
Appear TV AS                 3 (0.0%)
Riverbed Technology          2 (0.0%)
Sabayon Linux                2 (0.0%)
ITT Industries               2 (0.0%)
Sandia National Laboratories    2 (0.0%)
RuggedCom                    2 (0.0%)
