3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Eliad Peller                81 (0.1%)
Thomas Abraham              81 (0.1%)
James Hogan                 81 (0.1%)
Jiang Liu                   79 (0.1%)
Sakari Ailus                79 (0.1%)
Tushar Behera               78 (0.1%)
Catalin Marinas             78 (0.1%)
Samuel Iglesias Gonsalvez   78 (0.1%)
Jean-Christophe PLAGNIOL-VILLARD   78 (0.1%)
Marek Vasut                 76 (0.1%)
Michel Lespinasse           76 (0.1%)
Hiroshi DOYU                75 (0.1%)
David Henningsson           75 (0.1%)
Ville Syrjälä             75 (0.1%)
Marek Szyprowski            74 (0.1%)
Pablo Neira Ayuso           73 (0.1%)
Dmitry Torokhov             72 (0.1%)
Marc Zyngier                72 (0.1%)
Max Filippov                72 (0.1%)
Uwe Kleine-König           71 (0.1%)
Eugeni Dodonov              71 (0.1%)
Mathias Krause              71 (0.1%)
Akinobu Mita                71 (0.1%)
Nicholas Bellinger          70 (0.1%)
Avinash Patil               70 (0.1%)
Larry Finger                70 (0.1%)
Richard Cochran             70 (0.1%)
Lai Jiangshan               70 (0.1%)
Gleb Natapov                69 (0.1%)
Gao feng                    68 (0.1%)
Kukjin Kim                  68 (0.1%)
Sasha Levin                 68 (0.1%)
Frank Schäfer              68 (0.1%)
Anton Blanchard             68 (0.1%)
Yuval Mintz                 68 (0.1%)
Alex Williamson             67 (0.1%)
Jan Beulich                 67 (0.1%)
Malcolm Priestley           67 (0.1%)
Jens Taprogge               67 (0.1%)
Michael S. Tsirkin          66 (0.1%)
Peter Zijlstra              66 (0.1%)
Amitkumar Karwar            66 (0.1%)
Chris Metcalf               66 (0.1%)
Mat Martineau               66 (0.1%)
Len Brown                   65 (0.1%)
Sarah Sharp                 65 (0.1%)
Inki Dae                    65 (0.1%)
Shubhrajyoti D              65 (0.1%)
Hugh Dickins                64 (0.1%)
Kevin Hilman                64 (0.1%)
Sebastian Ott               64 (0.1%)
Namjae Jeon                 63 (0.1%)
Marcin Slusarz              63 (0.1%)
Fengguang Wu                62 (0.1%)
Gustavo Padovan             62 (0.1%)
Miklos Szeredi              62 (0.1%)
Mika Westerberg             62 (0.1%)
Tomasz Figa                 62 (0.1%)
Jean Delvare                61 (0.1%)
Gavin Shan                  61 (0.1%)
Brian Norris                60 (0.1%)
Jesse Barnes                60 (0.1%)
Daniel Kurtz                60 (0.1%)
Joe Thornber                59 (0.1%)
stephen hemminger           59 (0.1%)
françois romieu            59 (0.1%)
Sonic Zhang                 59 (0.1%)
Stephen Boyd                58 (0.1%)
Mohammed Shafi Shajakhan    58 (0.1%)
Kishon Vijay Abraham I      58 (0.1%)
Tony Prisk                  58 (0.1%)
Richard Zhao                57 (0.1%)
Konstantin Khlebnikov       57 (0.1%)
Robert Richter              57 (0.1%)
AnilKumar Ch                57 (0.1%)
Thomas Pedersen             57 (0.1%)
Andrew Morton               56 (0.1%)
Jack Morgenstein            56 (0.1%)
Matt Fleming                56 (0.1%)
Glauber Costa               56 (0.1%)
Huang Shijie                56 (0.1%)
Nicolas Dichtel             56 (0.1%)
Ed Cashin                   56 (0.1%)
David Ahern                 55 (0.1%)
Ulf Hansson                 55 (0.1%)
Afzal Mohammed              55 (0.1%)
Dan Williams                54 (0.1%)
Seth Forshee                54 (0.1%)
Stanislaw Gruszka           53 (0.1%)
Stefan Behrens              53 (0.1%)
Eric Lapuyade               53 (0.1%)
Gregory CLEMENT             53 (0.1%)
Mikulas Patocka             52 (0.1%)
David Rientjes              52 (0.1%)
Haojian Zhuang              52 (0.1%)
Andi Kleen                  52 (0.1%)
Jan Schmidt                 52 (0.1%)
Paul Mackerras              52 (0.1%)
Daniel Lezcano              52 (0.1%)
Henrik Rydberg              51 (0.1%)
Andre Guedes                51 (0.1%)
Benjamin Tissoires          50 (0.1%)
Michael Chan                50 (0.1%)
Matthew Garrett             50 (0.1%)
Joachim Eastwood            50 (0.1%)
Jaegeuk Kim                 50 (0.1%)
Johan Meiring               50 (0.1%)
Jiri Kosina                 49 (0.1%)
Rob Clark                   49 (0.1%)
Chanwoo Choi                49 (0.1%)
Steven Whitehouse           49 (0.1%)
Javier Martin               48 (0.1%)
Nicolas Ferre               48 (0.1%)
Prashant Gaikwad            48 (0.1%)
John Stultz                 47 (0.1%)
Feng Tang                   47 (0.1%)
Vipul Pandya                47 (0.1%)
Bryan Wu                    46 (0.1%)
Jerome Glisse               46 (0.1%)
Michael Ellerman            46 (0.1%)
Barry Song                  46 (0.1%)
Jani Nikula                 46 (0.1%)
Yan, Zheng                  45 (0.1%)
Dong Aisheng                45 (0.1%)
Benjamin Herrenschmidt      45 (0.1%)
Marek Lindner               45 (0.1%)
Weston Andros Adamson       45 (0.1%)
Christoph Lameter           45 (0.1%)
xiong                       44 (0.1%)
Rajendra Nayak              44 (0.1%)
Marc Kleine-Budde           44 (0.1%)
Ricardo Neri                44 (0.1%)
Michal Simek                44 (0.1%)
Maarten Lankhorst           44 (0.1%)
Peter Hurley                44 (0.1%)
Johannes Weiner             43 (0.1%)
Jayachandran C              43 (0.1%)
Timur Tabi                  43 (0.1%)
Steve Glendinning           43 (0.1%)
Magnus Damm                 42 (0.1%)
Franky Lin                  42 (0.1%)
Jason Wang                  42 (0.1%)
Justin P. Mattock           42 (0.1%)
Takuya Yoshikawa            42 (0.1%)
Fabio Baltieri              42 (0.1%)
Sebastian Hesselbarth       42 (0.1%)
Miguel Gómez               42 (0.1%)
Jon Mason                   42 (0.1%)
Mike Snitzer                41 (0.1%)
Oleksij Rempel              41 (0.1%)
Meenakshi Venkataraman      41 (0.1%)
Eric Sandeen                41 (0.1%)
Grant Likely                41 (0.1%)
Vaibhav Hiremath            41 (0.1%)
Joonsoo Kim                 41 (0.1%)
Steven J. Hill              40 (0.1%)
Michael Krufky              40 (0.1%)
Chuck Lever                 40 (0.1%)
Kirill A. Shutemov          40 (0.1%)
Richard Weinberger          40 (0.1%)
Bob Peterson                40 (0.1%)
Lan Tianyu                  40 (0.1%)
Chao Xie                    40 (0.1%)
Waldemar Rymarkiewicz       40 (0.1%)
Rusty Russell               39 (0.1%)
Nobuhiro Iwamatsu           39 (0.1%)
Suresh Siddha               39 (0.1%)
Tao Ma                      39 (0.1%)
Shuah Khan                  39 (0.1%)
Wolfram Sang                39 (0.1%)
Zheng Liu                   39 (0.1%)
Jeff Skirvin                39 (0.1%)
Greg Rose                   39 (0.1%)
Tim Gardner                 39 (0.1%)
Sean Young                  39 (0.1%)
Vlad Yasevich               39 (0.1%)
Minchan Kim                 38 (0.1%)
Alexander Smirnov           38 (0.1%)
Ludovic Desroches           38 (0.1%)
Martin Peres                38 (0.1%)
Julian Anastasov            37 (0.1%)
Simon Wunderlich            37 (0.1%)
Heiko Stübner              37 (0.1%)
Vikas Chaudhary             37 (0.1%)
Eldad Zack                  37 (0.1%)
Joseph Lo                   37 (0.1%)
Cong Ding                   37 (0.1%)
Adam Jackson                36 (0.1%)
Shaohua Li                  36 (0.1%)
Zhang Rui                   36 (0.1%)
Stefano Stabellini          36 (0.1%)
Alexey Khoroshilov          36 (0.1%)
Scott Wood                  36 (0.1%)
Prabhakar Lad               36 (0.1%)
Olof Johansson              35 (0.1%)
David Woodhouse             35 (0.1%)
Clemens Ladisch             35 (0.1%)
Asias He                    35 (0.1%)
Marcos Paulo de Souza       35 (0.1%)
Patrice Chotard             35 (0.1%)
Aneesh Kumar K.V            35 (0.1%)
Cyrill Gorcunov             34 (0.1%)
Pawel Moll                  34 (0.1%)
Liam Girdwood               34 (0.1%)
Aaron Lu                    34 (0.1%)
Jonas Gorski                34 (0.1%)
Alexander Shishkin          34 (0.1%)
Padmanabh Ratnakar          34 (0.1%)
Srinivas Kandagatla         34 (0.1%)
Christian Lamparter         34 (0.1%)
Chen Gang                   34 (0.1%)
Daniel Cotey                34 (0.1%)
Sjur Brændeland            33 (0.1%)
