3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Yishai Hadas                 4 (0.0%)
Tomas Henzl                  4 (0.0%)
Sritej Velaga                4 (0.0%)
Aaron Sierra                 4 (0.0%)
Vivek Natarajan              4 (0.0%)
Matthew Wilcox               4 (0.0%)
Chris Elston                 4 (0.0%)
Virupax Sadashivpetimath     4 (0.0%)
Rick Jones                   4 (0.0%)
Wade Farnsworth              4 (0.0%)
Andrew Price                 4 (0.0%)
Mike Sinkovsky               4 (0.0%)
Bhupesh Sharma               4 (0.0%)
Maarten ter Huurne           4 (0.0%)
Silas Boyd-Wickizer          4 (0.0%)
Michal Schmidt               4 (0.0%)
Manoj Iyer                   4 (0.0%)
Ashish Sangwan               4 (0.0%)
fangxiaozhi                  4 (0.0%)
Silviu-Mihai Popescu         4 (0.0%)
Tim Chen                     4 (0.0%)
Li Wei                       4 (0.0%)
Tang Yuantian                4 (0.0%)
Saurabh                      4 (0.0%)
Rob Evers                    4 (0.0%)
Pavel Machek                 4 (0.0%)
Aaron Plattner               4 (0.0%)
Ben Dooks                    4 (0.0%)
Jerry Huang                  4 (0.0%)
Mirko Lindner                4 (0.0%)
Zumeng Chen                  4 (0.0%)
ShuoX Liu                    4 (0.0%)
Simon Que                    4 (0.0%)
David Sharp                  4 (0.0%)
Vishwanath BS                4 (0.0%)
Matthijs Kooijman            4 (0.0%)
Alexey Kardashevskiy         4 (0.0%)
Benjamin Marzinski           4 (0.0%)
Sergey Senozhatsky           4 (0.0%)
Ansis Atteka                 4 (0.0%)
Simon Marchi                 4 (0.0%)
Guan Xuetao                  4 (0.0%)
David Zafman                 4 (0.0%)
Marko Katic                  4 (0.0%)
Denis Kirjanov               4 (0.0%)
Jerry Chu                    4 (0.0%)
Thomas Bogendoerfer          4 (0.0%)
Yoshihiro YUNOMAE            4 (0.0%)
Wei Ni                       4 (0.0%)
Andres Lagar-Cavilla         4 (0.0%)
Samuel Thibault              4 (0.0%)
Marcus Cooper                4 (0.0%)
Elric Fu                     4 (0.0%)
Shane Huang                  4 (0.0%)
Yunfan Zhang                 4 (0.0%)
Sam Leffler                  4 (0.0%)
Xiaoyan Zhang                4 (0.0%)
david decotigny              4 (0.0%)
Ashley Lai                   4 (0.0%)
Gerlando Falauto             4 (0.0%)
Olivier Sobrie               4 (0.0%)
Laurent Navet                4 (0.0%)
Romain KUNTZ                 4 (0.0%)
Chen Jun                     4 (0.0%)
Alexander Aring              4 (0.0%)
Abhijit Pawar                4 (0.0%)
Andrew Gallatin              4 (0.0%)
Scott Ling                   4 (0.0%)
Takashi Yoshii               4 (0.0%)
Harvey Yang                  4 (0.0%)
Rajagopal Venkat             4 (0.0%)
Adil Mujeeb                  4 (0.0%)
Hojung Youn                  4 (0.0%)
Greg Suarez                  4 (0.0%)
Roger Tseng                  4 (0.0%)
Andrey Smirnov               4 (0.0%)
Andrew Honig                 4 (0.0%)
Lee A. Roberts               4 (0.0%)
Rich Lane                    4 (0.0%)
Niklas Söderlund            4 (0.0%)
Fernando Luis Vázquez Cao    4 (0.0%)
Christopher Cordahi          4 (0.0%)
Denis Ciocca                 4 (0.0%)
Kurt Kanzenbach              4 (0.0%)
Leonid Yegoshin              3 (0.0%)
Michael Kerrisk              3 (0.0%)
Jeff Kirsher                 3 (0.0%)
Narendra K                   3 (0.0%)
Shirish Pargaonkar           3 (0.0%)
Robin Holt                   3 (0.0%)
Peter Wu                     3 (0.0%)
Jassi Brar                   3 (0.0%)
Christian Dietrich           3 (0.0%)
Junxiao Bi                   3 (0.0%)
Tomasz Bursztyka             3 (0.0%)
Vinson Lee                   3 (0.0%)
Mingarelli, Thomas           3 (0.0%)
Josh Hunt                    3 (0.0%)
Moiz Sonasath                3 (0.0%)
Ozan Çağlayan              3 (0.0%)
Alain Renaud                 3 (0.0%)
Simon Baatz                  3 (0.0%)
Andre Heider                 3 (0.0%)
Márton Németh              3 (0.0%)
Vishal Agarwal               3 (0.0%)
Mircea Gherzan               3 (0.0%)
Vikram Pandita               3 (0.0%)
Andiry Xu                    3 (0.0%)
Weiping Pan                  3 (0.0%)
Vincent Bernat               3 (0.0%)
Jaccon Bastiaansen           3 (0.0%)
Sagi Grimberg                3 (0.0%)
Dimitri Sivanich             3 (0.0%)
Tomoki Sekiyama              3 (0.0%)
Govindraj.R                  3 (0.0%)
Stuart Menefy                3 (0.0%)
Wei Yang                     3 (0.0%)
Ike Panhc                    3 (0.0%)
Alex Hung                    3 (0.0%)
Robert Gerlach               3 (0.0%)
Hiroshi Shimamoto            3 (0.0%)
Tej Parkash                  3 (0.0%)
Rajkumar Kasirajan           3 (0.0%)
Ulrich Drepper               3 (0.0%)
Akira Fujita                 3 (0.0%)
Anshuman Khandual            3 (0.0%)
Hillf Danton                 3 (0.0%)
Mans Rullgard                3 (0.0%)
Rodrigo Vivi                 3 (0.0%)
Andreas Heider               3 (0.0%)
Mark Asselstine              3 (0.0%)
Bernd Schubert               3 (0.0%)
Chen Baozi                   3 (0.0%)
Thomas Langer                3 (0.0%)
Steve Wise                   3 (0.0%)
Peter Jones                  3 (0.0%)
Sangsu Park                  3 (0.0%)
Amit Beka                    3 (0.0%)
K.Prasad                     3 (0.0%)
Dirk Behme                   3 (0.0%)
Jean-François Dagenais      3 (0.0%)
Yegor Yefremov               3 (0.0%)
Vinayak Holikatti            3 (0.0%)
Rajesh Borundia              3 (0.0%)
Sucheta Chakraborty          3 (0.0%)
Philippe De Swert            3 (0.0%)
Corbin Atkinson              3 (0.0%)
Eric Leblond                 3 (0.0%)
Zhi Yong Wu                  3 (0.0%)
Éric Piel                   3 (0.0%)
Chunhe Lan                   3 (0.0%)
Betty Dall                   3 (0.0%)
Khalid Aziz                  3 (0.0%)
Chris Bagwell                3 (0.0%)
Bojan Smojver                3 (0.0%)
Rickard Andersson            3 (0.0%)
Kusanagi Kouichi             3 (0.0%)
Hong Xu                      3 (0.0%)
Valentin Ilie                3 (0.0%)
Jon Brenner                  3 (0.0%)
Krzysztof Wilczynski         3 (0.0%)
Ryan Mallon                  3 (0.0%)
Boris BREZILLON              3 (0.0%)
Eric Andersson               3 (0.0%)
Daniel Baluta                3 (0.0%)
Lorenzo Bianconi             3 (0.0%)
Dmitry Tarnyagin             3 (0.0%)
Markus Franke                3 (0.0%)
Dmitry Artamonow             3 (0.0%)
Xiaobing Tu                  3 (0.0%)
Jett Zhou                    3 (0.0%)
Shobhit Kumar                3 (0.0%)
Aarthi Thiruvengadam         3 (0.0%)
Paul Clements                3 (0.0%)
David Milburn                3 (0.0%)
Eugenia Emantayev            3 (0.0%)
Aviad Yehezkel               3 (0.0%)
Ruchika Kharwar              3 (0.0%)
Gaëtan Carlier              3 (0.0%)
Alexis R. Cortes             3 (0.0%)
Dae S. Kim                   3 (0.0%)
Xu, Anhua                    3 (0.0%)
Simon Farnsworth             3 (0.0%)
Raphael Assenat              3 (0.0%)
Albert Wang                  3 (0.0%)
Maxim Levitsky               3 (0.0%)
Domenico Andreoli            3 (0.0%)
Ram Malovany                 3 (0.0%)
Stéphane Marchesin          3 (0.0%)
Idan Kedar                   3 (0.0%)
Fan Du                       3 (0.0%)
Eric Wong                    3 (0.0%)
Kamal Mostafa                3 (0.0%)
Octavian Purdila             3 (0.0%)
Du, Changbin                 3 (0.0%)
Li Dongyang                  3 (0.0%)
Jiri Benc                    3 (0.0%)
Andy Cress                   3 (0.0%)
Andrew Armenia               3 (0.0%)
Anand Jain                   3 (0.0%)
Kevin Groeneveld             3 (0.0%)
Mahesh Rajashekhara          3 (0.0%)
Krishna Kumar                3 (0.0%)
Erik Jones                   3 (0.0%)
Tony Cheneau                 3 (0.0%)
Nicolas Schichan             3 (0.0%)
Olivia Yin                   3 (0.0%)
Xiao Jiang                   3 (0.0%)
Dmitry Lifshitz              3 (0.0%)
Will Hawkins                 3 (0.0%)
Markus Bollinger             3 (0.0%)
Nitin Gupta                  3 (0.0%)
Adam Thomson                 3 (0.0%)
Juan Gutierrez               3 (0.0%)
Vincent Palatin              3 (0.0%)
Jim Quinlan                  3 (0.0%)
Ian Coolidge                 3 (0.0%)
Igor Murzov                  3 (0.0%)
Rolf Eike Beer               3 (0.0%)
Dave Kleikamp                3 (0.0%)
Marc Gauthier                3 (0.0%)
Chad Reese                   3 (0.0%)
Mark Fasheh                  3 (0.0%)
Neerav Parikh                3 (0.0%)
Alfredo Jesús Delaiti       3 (0.0%)
Alex Kelly                   3 (0.0%)
Daniel Walter                3 (0.0%)
Ivan Vecera                  3 (0.0%)
Andreas Bießmann            3 (0.0%)
Hyeoncheol Lee               3 (0.0%)
Jaeden Amero                 3 (0.0%)
Ilan Elias                   3 (0.0%)
Poornima Vonti               3 (0.0%)
Jose Alberto Reguero         3 (0.0%)
Srinivas Pandruvada          3 (0.0%)
Valentin Longchamp           3 (0.0%)
navin patidar                3 (0.0%)
Lauri Kasanen                3 (0.0%)
Steven Fuerst                3 (0.0%)
Andy Walls                   3 (0.0%)
Catherine Sullivan           3 (0.0%)
Sungchun Kang                3 (0.0%)
Shirish S                    3 (0.0%)
Dave Reisner                 3 (0.0%)
Bryan Freed                  3 (0.0%)
Bernard Blackham             3 (0.0%)
Jonathan Brett               3 (0.0%)
Jean Sacren                  3 (0.0%)
Ying Luo                     3 (0.0%)
Daniele Palmas               3 (0.0%)
Timo Teräs                  3 (0.0%)
Suleiman Souhlal             3 (0.0%)
Baruch Siach                 3 (0.0%)
Lans Zhang                   3 (0.0%)
Shan Hai                     3 (0.0%)
Ivan Khoronzhuk              3 (0.0%)
Isaku Yamahata               3 (0.0%)
Chris Verges                 3 (0.0%)
Derek Basehore               3 (0.0%)
Lee Schermerhorn             3 (0.0%)
Paul Handrigan               3 (0.0%)
Joseph Gasparakis            3 (0.0%)
Eytan Lifshitz               3 (0.0%)
Marina Makienko              3 (0.0%)
Per Forlin                   3 (0.0%)
Vakul Garg                   3 (0.0%)
Naresh Kumar Inna            3 (0.0%)
Alexander Sverdlin           3 (0.0%)
Andrea Adami                 3 (0.0%)
Eunki Kim                    3 (0.0%)
Danny Huang                  3 (0.0%)
Constantine Shulyupin        3 (0.0%)
Jugwan Eom                   3 (0.0%)
Beni Lev                     3 (0.0%)
Markus Pargmann              3 (0.0%)
Joe Lawrence                 3 (0.0%)
Li Fei                       3 (0.0%)
Alexey Pelykh                3 (0.0%)
Vladimir Davydov             3 (0.0%)
Stepan Moskovchenko          3 (0.0%)
Heinz Mauelshagen            3 (0.0%)
Denis CIOCCA                 3 (0.0%)
Mrugesh Katepallewar         3 (0.0%)
Lubomir Rintel               3 (0.0%)
Markus F.X.J. Oberhumer      3 (0.0%)
Vishwanathrao Badarkhe, Manish    3 (0.0%)
Stratos Karafotis            3 (0.0%)
Roland Eggner                3 (0.0%)
Michał Mirosław            3 (0.0%)
Jacob Pan                    3 (0.0%)
Stefan Berger                3 (0.0%)
Mian Yousaf Kaukab           3 (0.0%)
Liang Li                     3 (0.0%)
Paer-Olof Haakansson         3 (0.0%)
supriya karanth              3 (0.0%)
Patrik Karlin                3 (0.0%)
Konstantin Dimitrov          3 (0.0%)
Alexander Lyakas             2 (0.0%)
Federico Fuga                2 (0.0%)
Jonathan Nieder              2 (0.0%)
Jeff Moyer                   2 (0.0%)
Richard W.M. Jones           2 (0.0%)
Yuri Khan                    2 (0.0%)
Luis Henriques               2 (0.0%)
Amir Hanania                 2 (0.0%)
Cloud Ren                    2 (0.0%)
Florian Tobias Schandinat    2 (0.0%)
Paolo Pisati                 2 (0.0%)
Dan Rosenberg                2 (0.0%)
Greg Pearson                 2 (0.0%)
Tomasz Moń                  2 (0.0%)
Tao Guo                      2 (0.0%)
Mahesh Vardhamanaiah         2 (0.0%)
Marc Dionne                  2 (0.0%)
Qasim Javed                  2 (0.0%)
Jordan Justen                2 (0.0%)
Kamalesh Babulal             2 (0.0%)
H.J. Lu                      2 (0.0%)
Christopher Yeoh             2 (0.0%)
Vladimir Serbinenko          2 (0.0%)
Alexey Dobriyan              2 (0.0%)
Ang Way Chuang               2 (0.0%)
Douglas Gilbert              2 (0.0%)
Lalit Chandivade             2 (0.0%)
Hannu Heikkinen              2 (0.0%)
Ryota Ozaki                  2 (0.0%)
Xiantao Zhang                2 (0.0%)
Edgar E. Iglesias            2 (0.0%)
Michael Olbrich              2 (0.0%)
Richard Kuo                  2 (0.0%)
Wu Jiajun-B06378             2 (0.0%)
Chetan Loke                  2 (0.0%)
Vitaly Andrianov             2 (0.0%)
Subash Patel                 2 (0.0%)
Sachin Bhamare               2 (0.0%)
Ismael Luceno                2 (0.0%)
Andreas Schallenberg         2 (0.0%)
Minho Ban                    2 (0.0%)
Jason J. herne               2 (0.0%)
Carsten Otte                 2 (0.0%)
Paul Stewart                 2 (0.0%)
Maciej Trela                 2 (0.0%)
mengcong                     2 (0.0%)
Benny Halevy                 2 (0.0%)
Zero.Lin                     2 (0.0%)
Janusz Dziedzic              2 (0.0%)
Cristian Chilipirea          2 (0.0%)
Saravana Kannan              2 (0.0%)
Bernhard Kohl                2 (0.0%)
Du, ChangbinX                2 (0.0%)
Il Han                       2 (0.0%)
Changhwan Youn               2 (0.0%)
Jim Foraker                  2 (0.0%)
Mitko Haralanov              2 (0.0%)
Jean-Christophe DUBOIS       2 (0.0%)
Robert Jennings              2 (0.0%)
Zhenyu Wang                  2 (0.0%)
Maxime Coquelin              2 (0.0%)
Tai-hwa Liang                2 (0.0%)
Mike Miller                  2 (0.0%)
Matt Gates                   2 (0.0%)
Santosh Yaraganavi           2 (0.0%)
David Jeffery                2 (0.0%)
Koki Sanagi                  2 (0.0%)
David Riddoch                2 (0.0%)
Enric Balletbo i Serra       2 (0.0%)
Oren Duer                    2 (0.0%)
Mark Lord                    2 (0.0%)
Kenneth Graunke              2 (0.0%)
Ravi Babu                    2 (0.0%)
Eric Anholt                  2 (0.0%)
Mai La                       2 (0.0%)
Dima Zavin                   2 (0.0%)
Mattias Wallin               2 (0.0%)
Pasi Savanainen              2 (0.0%)
Shawn Landden                2 (0.0%)
Kevin Fang                   2 (0.0%)
Naveen singh                 2 (0.0%)
Naveen Gangadharan           2 (0.0%)
Allen Martin                 2 (0.0%)
Simo Sorce                   2 (0.0%)
Richard Kennedy              2 (0.0%)
Naveen Kumar Gaddipati       2 (0.0%)
Kristoffer KARLSSON          2 (0.0%)
Ming Jiang                   2 (0.0%)
Mikael Pettersson            2 (0.0%)
Sujit Reddy Thumma           2 (0.0%)
Francesco Virlinzi           2 (0.0%)
Benedikt Bergenthal          2 (0.0%)
Ramneek Mehresh              2 (0.0%)
Srivatsa Vaddagiri           2 (0.0%)
Ray Chen                     2 (0.0%)
Ronald Wahl                  2 (0.0%)
Gajanan Bhat                 2 (0.0%)
Paul Menzel                  2 (0.0%)
Michael D Labriola           2 (0.0%)
Shaun Ruffell                2 (0.0%)
Li Haifeng                   2 (0.0%)
Gang Wei                     2 (0.0%)
Francesco Ruggeri            2 (0.0%)
Stefan Weinhuber             2 (0.0%)
Maciej W. Rozycki            2 (0.0%)
Thomas Kavanagh              2 (0.0%)
Maxim Nikulin                2 (0.0%)
Bernhard Froemel             2 (0.0%)
T Makphaibulchoke            2 (0.0%)
Catalin Iacob                2 (0.0%)
Lennart Sorensen             2 (0.0%)
Shawn Bohrer                 2 (0.0%)
Keith Packard                2 (0.0%)
Jesse Larrew                 2 (0.0%)
Keng-Yu Lin                  2 (0.0%)
Naveen N. Rao                2 (0.0%)
Dmitry Kozlov                2 (0.0%)
Tomas Racek                  2 (0.0%)
Jim Schutt                   2 (0.0%)
Sven Schnelle                2 (0.0%)
Carlos Alberto Lopez Perez    2 (0.0%)
Mark Ferrell                 2 (0.0%)
Nikola Pajkovsky             2 (0.0%)
Peter Moody                  2 (0.0%)
Igor Maravic                 2 (0.0%)
Dirk Gouders                 2 (0.0%)
Jayakrishnan Memana          2 (0.0%)
J Keerthy                    2 (0.0%)
Felix Kaechele               2 (0.0%)
Sorin Dumitru                2 (0.0%)
Woody Hung                   2 (0.0%)
Martin Pärtel               2 (0.0%)
Christian Ehrhardt           2 (0.0%)
Valerie Aurora               2 (0.0%)
Fernando Luis Vazquez Cao    2 (0.0%)
Bengt Jonsson                2 (0.0%)
Sameer Nanda                 2 (0.0%)
Vikram Mulukutla             2 (0.0%)
Breno Leitao                 2 (0.0%)
Josh Coombs                  2 (0.0%)
Shachar Shemesh              2 (0.0%)
Thang Q. Nguyen              2 (0.0%)
Stefan Bader                 2 (0.0%)
Prashanth Nageshappa         2 (0.0%)
Jan-Simon Möller            2 (0.0%)
Aditya Kali                  2 (0.0%)
Girish K S                   2 (0.0%)
Jonathan Kliegman            2 (0.0%)
HighPoint Linux Team         2 (0.0%)
Tormod Volden                2 (0.0%)
Abhijith Das                 2 (0.0%)
Nicolas Cavallari            2 (0.0%)
Alberto Garcia Gonzalez      2 (0.0%)
Richard A. Smith             2 (0.0%)
Jon Maloy                    2 (0.0%)
Rafal Krypa                  2 (0.0%)
Mathias Jeppsson             2 (0.0%)
Sylvain Roger Rieunier       2 (0.0%)
Otavio Salvador              2 (0.0%)
Matthew McClintock           2 (0.0%)
Denis 'GNUtoo' Carikli       2 (0.0%)
Christian Herzig             2 (0.0%)
Haibo Liu                    2 (0.0%)
Thomas Betker                2 (0.0%)
Jason Baron                  2 (0.0%)
Andrew Cooks                 2 (0.0%)
Bill Huang                   2 (0.0%)
David McCullough             2 (0.0%)
Yu Xu                        2 (0.0%)
Annie Liu                    2 (0.0%)
Lior Levy                    2 (0.0%)
Christopher Brannon          2 (0.0%)
Jarod Wilson                 2 (0.0%)
Jenny TC                     2 (0.0%)
Chris Yungmann               2 (0.0%)
William Blair                2 (0.0%)
Jefferson Delfes             2 (0.0%)
Rajiv Andrade                2 (0.0%)
Sam Hansen                   2 (0.0%)
Albert Pool                  2 (0.0%)
Raymond Yau                  2 (0.0%)
Assaf Azulay                 2 (0.0%)
Oleg Matcovschi              2 (0.0%)
Torsten Kaiser               2 (0.0%)
Kelly Doran                  2 (0.0%)
Wang Dongsheng               2 (0.0%)
Xianhan Yu                   2 (0.0%)
Mehak Mahajan                2 (0.0%)
Wolfgang Grandegger          2 (0.0%)
Gabriel Fernandez            2 (0.0%)
Jon Stanley                  2 (0.0%)
Mark Zhang                   2 (0.0%)
Nicolas Palix                2 (0.0%)
Joshua Kinard                2 (0.0%)
Philippe Langlais            2 (0.0%)
Florian Zumbiehl             2 (0.0%)
Jeongtae Park                2 (0.0%)
Daniel Golle                 2 (0.0%)
hongfeng                     2 (0.0%)
John Linn                    2 (0.0%)
Konstantin Dorfman           2 (0.0%)
Christian Daudt              2 (0.0%)
Knut Wohlrab                 2 (0.0%)
Brian Foley                  2 (0.0%)
Adam Lee                     2 (0.0%)
Roy Zang                     2 (0.0%)
Ingo Tuchscherer             2 (0.0%)
Michael Spang                2 (0.0%)
Manish Dusane                2 (0.0%)
Santosh Vernekar             2 (0.0%)
Harish Zunjarrao             2 (0.0%)
Sven Schuchmann              2 (0.0%)
Mariusz Bia?o?czyk           2 (0.0%)
Andreas Pretzsch             2 (0.0%)
Radhesh Fadnis               2 (0.0%)
Florian Echtler              2 (0.0%)
Gyungoh Yoo                  2 (0.0%)
Michal Pecio                 2 (0.0%)
Rohit Vaswani                2 (0.0%)
Güngör Erseymen            2 (0.0%)
Anton Nurkin                 2 (0.0%)
Carl E. Love                 2 (0.0%)
Tomas Hlavacek               2 (0.0%)
Hila Gonen                   2 (0.0%)
Josh                         2 (0.0%)
Jiri Bohac                   2 (0.0%)
xiaojin                      2 (0.0%)
Stanislav Kozina             2 (0.0%)
Alim Akhtar                  2 (0.0%)
Xufeng Zhang                 2 (0.0%)
Nestor Ovroy                 2 (0.0%)
Wei Shuai                    2 (0.0%)
Stef van Os                  2 (0.0%)
Matt Wilson                  2 (0.0%)
Aleksi Torhamo               2 (0.0%)
Andreas Fleig                2 (0.0%)
Lin Feng                     2 (0.0%)
Stefan Peter                 2 (0.0%)
Damien Zammit                2 (0.0%)
Niels Ole Salscheider        2 (0.0%)
Witold Szczeponik            2 (0.0%)
Chaitanya                    2 (0.0%)
Tomasz Guszkowski            2 (0.0%)
Vitaly E. Lavrov             2 (0.0%)
Stefan Hasko                 2 (0.0%)
Jacob Schloss                2 (0.0%)
John Greene                  2 (0.0%)
Eryu Guan                    2 (0.0%)
Lydia Wang                   2 (0.0%)
Patrick Trantham             2 (0.0%)
trem                         2 (0.0%)
Armando Visconti             2 (0.0%)
Diego Calleja                2 (0.0%)
Guillermo A. Amaral          2 (0.0%)
walimis                      2 (0.0%)
Frédéric Dalleau           2 (0.0%)
Daniel Pieczko               2 (0.0%)
Will Auld                    2 (0.0%)
Armen Baloyan                2 (0.0%)
Juergen Lock                 2 (0.0%)
Andrey Gusakov               2 (0.0%)
Julius Werner                2 (0.0%)
Harninder Rai                2 (0.0%)
Vasanth Ananthan             2 (0.0%)
Assaf Krauss                 2 (0.0%)
Matthias Fuchs               2 (0.0%)
Doug Goldstein               2 (0.0%)
Paul Chavent                 2 (0.0%)
Julien Boibessot             2 (0.0%)
Yuly Novikov                 2 (0.0%)
Mischa Jonker                2 (0.0%)
Denis V. Lunev               2 (0.0%)
Ceri James                   2 (0.0%)
Sunhee Hwang                 2 (0.0%)
Sergey Vlasov                2 (0.0%)
Dave Hansen                  2 (0.0%)
Christian Ruppert            2 (0.0%)
Nigel Roberts                2 (0.0%)
Torstein Hegge               2 (0.0%)
Kefeng Wang                  2 (0.0%)
Torsten Duwe                 2 (0.0%)
fanchaoting                  2 (0.0%)
Julia Lemire                 2 (0.0%)
Zang MingJie                 2 (0.0%)
Dave Tubbs                   2 (0.0%)
Emilio López                2 (0.0%)
Francisco Jerez              2 (0.0%)
Stefani Seibold              2 (0.0%)
Stefan Kristiansson          2 (0.0%)
Mihail Zenkov                2 (0.0%)
Jun Nakajima                 2 (0.0%)
dave turvene                 2 (0.0%)
Petr Holasek                 2 (0.0%)
Paul Szabo                   2 (0.0%)
Leo Song                     2 (0.0%)
Paul Sbarra                  2 (0.0%)
Michael Arndt                2 (0.0%)
Michael Trimarchi            2 (0.0%)
Manjunath Goudar             2 (0.0%)
Michael Braun                2 (0.0%)
Thiago Farina                2 (0.0%)
Sam Lang                     2 (0.0%)
Yi Zhang                     2 (0.0%)
Anson Huang                  2 (0.0%)
Alexey Galakhov              2 (0.0%)
Jerry Wong                   2 (0.0%)
Eddi De Pieri                2 (0.0%)
Mathias Leblanc              2 (0.0%)
David Cohen                  2 (0.0%)
Ilya Zykov                   2 (0.0%)
Adam Thomas                  2 (0.0%)
Lilach Edelstein             2 (0.0%)
Ulrich Hecht                 2 (0.0%)
Karen Higgins                2 (0.0%)
Alok N Kataria               2 (0.0%)
Giridhar Maruthy             2 (0.0%)
Bernd Krumboeck              2 (0.0%)
Kurt Van Dijck               2 (0.0%)
Praveen Paneri               2 (0.0%)
Sebastian Wankerl            2 (0.0%)
Johan BJORNSTEDT             2 (0.0%)
Gerald Baeza                 2 (0.0%)
Narayanan G                  2 (0.0%)
Julien Delacou               2 (0.0%)
Julian Scheel                2 (0.0%)
Unknown hacker               1 (0.0%)
Iwo Mergler                  1 (0.0%)
Vincent Wen                  1 (0.0%)
Douglas Leung                1 (0.0%)
Brian Downing                1 (0.0%)
Anirban Chakraborty          1 (0.0%)
Aaditya Kumar                1 (0.0%)
Anders Kaseorg               1 (0.0%)
Silva Paulo                  1 (0.0%)
Philipp Dreimann             1 (0.0%)
Joseph Salisbury             1 (0.0%)
Kyungmin Park                1 (0.0%)
Ilia Katsnelson              1 (0.0%)
Ryan Bourgeois               1 (0.0%)
Frank Kunz                   1 (0.0%)
Mantesh Sarashetti           1 (0.0%)
Laura Abbott                 1 (0.0%)
Gaosen Zhang                 1 (0.0%)
Charles Wang                 1 (0.0%)
Daniel Nicoletti             1 (0.0%)
Srinivas Eeda                1 (0.0%)
roel                         1 (0.0%)
Calvin Walton                1 (0.0%)
Stanislaw Ledwon             1 (0.0%)
Chris Wright                 1 (0.0%)
Michele Baldessari           1 (0.0%)
Stuart Hayes                 1 (0.0%)
Tom Hughes                   1 (0.0%)
Panayiotis Karabassis        1 (0.0%)
Preeti Murthy                1 (0.0%)
Jens Freimann                1 (0.0%)
Denys Fedoryshchenko         1 (0.0%)
Craig Shelley                1 (0.0%)
Davide Gerhard               1 (0.0%)
Per Ellefsen                 1 (0.0%)
Ruslan Bilovol               1 (0.0%)
Djamil Elaidi                1 (0.0%)
Dmitry Shmygov               1 (0.0%)
Andrew Jones                 1 (0.0%)
Jose Miguel Goncalves        1 (0.0%)
Daniel Halperin              1 (0.0%)
Janne Huttunen               1 (0.0%)
Janne Kalliomäki            1 (0.0%)
Lubomir Schmidt              1 (0.0%)
Manohar Vanga                1 (0.0%)
Otto Meta                    1 (0.0%)
Anand Gadiyar                1 (0.0%)
Jan Safrata                  1 (0.0%)
Ricardo Martins              1 (0.0%)
说不得                    1 (0.0%)
Tom Cassidy                  1 (0.0%)
Mikko Tuumanen               1 (0.0%)
Evan McNabb                  1 (0.0%)
Suresh Jayaraman             1 (0.0%)
Namarta Kohli                1 (0.0%)
Giancarlo Formicuccia        1 (0.0%)
Christian Kujau              1 (0.0%)
Paul Pluzhnikov              1 (0.0%)
Martin Pelikan               1 (0.0%)
Mathieu Poirier              1 (0.0%)
Steven Newbury               1 (0.0%)
Steffen Rumler               1 (0.0%)
Sander Eikelenboom           1 (0.0%)
Steve Dickson                1 (0.0%)
Yong Ding                    1 (0.0%)
Karel Zak                    1 (0.0%)
Pavel Vasilyev               1 (0.0%)
Jon Povey                    1 (0.0%)
Frank Svendsboe              1 (0.0%)
Jakob Bornecrantz            1 (0.0%)
Eric Nelson                  1 (0.0%)
Marcel Apfelbaum             1 (0.0%)
Akio Idehara                 1 (0.0%)
Sebastian Riemer             1 (0.0%)
Naohiro Aota                 1 (0.0%)
Vlad Zolotarov               1 (0.0%)
Avik Sil                     1 (0.0%)
John Dykstra                 1 (0.0%)
Pierre Carrier               1 (0.0%)
Nick Piggin                  1 (0.0%)
David Dajun Chen             1 (0.0%)
Satoru Moriya                1 (0.0%)
rajman mekaco                1 (0.0%)
Ying Han                     1 (0.0%)
Larry Woodman                1 (0.0%)
Siddhesh Poyarekar           1 (0.0%)
Daniel Hellstrom             1 (0.0%)
Claudio Pisa                 1 (0.0%)
Dmitry Maluka                1 (0.0%)
Andreas Dilger               1 (0.0%)
Haogang Chen                 1 (0.0%)
Soumik Das                   1 (0.0%)
Gregory Greenman             1 (0.0%)
Franck Bui-Huu               1 (0.0%)
Ning Jiang                   1 (0.0%)
Simon Graham                 1 (0.0%)
jamal                        1 (0.0%)
Raúl Porcel                 1 (0.0%)
Matt Turner                  1 (0.0%)
Jan-Benedict Glaw            1 (0.0%)
Marcin Kościelnicki         1 (0.0%)
Christoph Bumiller           1 (0.0%)
Yanmin Zhang                 1 (0.0%)
Diego Elio Pettenò          1 (0.0%)
Dave Mueller                 1 (0.0%)
Marek Marczykowski           1 (0.0%)
Felten, Lothar               1 (0.0%)
Nigel Kirkland               1 (0.0%)
Remi Schwartz                1 (0.0%)
Peter Watkins                1 (0.0%)
Jana Saout                   1 (0.0%)
Benjamin Gaignard            1 (0.0%)
Robert Nelson                1 (0.0%)
Aaron Wu                     1 (0.0%)
Sidney Amani                 1 (0.0%)
Jozsef Marton                1 (0.0%)
Matthew Treinish             1 (0.0%)
Subodh Nijsure               1 (0.0%)
Andrzej Jakowski             1 (0.0%)
Artur Wojcik                 1 (0.0%)
Tom Jackson                  1 (0.0%)
Saugata Das                  1 (0.0%)
Martin Bachem                1 (0.0%)
Ulisses Furquim              1 (0.0%)
